MV_Type	Lemma	Related_MV	Target_Domain	BM	CM	BM_RAE	CM_RAE
OneWordMV	abandonar	abandonar	6	abandonar-00614057-v	abandonar-00362348-v		
OneWordMV	abandonar	abandonar	26	dejar-00614057-v	morir-00358431-v		
OneWordMV	abatir	abatido	33, 35, 81	abatir-01103336-v	abatir-01814396-v		
OneWordMV	abrasar	abrasivo	62	abrasar-00196364-v	abrasar-02120451-v		
Frame	abrazo	abrazo muy fuerte, lleno de cariño y comprensión	77				
FormulaicExpression	Abrazo	abrazo muy fuerte, lleno de cariño y comprensión	77				
FormulaicExpression	Abrazo	Un abrazo	77				
FormulaicExpression	Abrazo	Un abrazo muy grande a todas	77				
FormulaicExpression	Abrazo	un fuerte abrazo	77				
FormulaicExpression	Abrazo	Un gran abrazo a tod@s	77				
FormulaicExpression	Abrazo	Un gran abrazo lleno de energía	77				
OneWordMV	abrir	abrir, abrir falsas esperanzas, abrir un camino esperanzador, abrir una pequeña puerta hacia la esperanza	31	abrir-00219963-v	abrir-00539936-v		
OneWordMV	abrir	abrir una herida		abrir-00219963-v			
OneWordMV	abrir	abrir nuevo hilo	81	abrir-00219963-v			
OneWordMV	abrumado	abrumado, abrumador	33, 38, 35, 83	brumoso-00461609-a	abrumador-01989446-a		
OneWordMV	abrumador	abrumado, abrumador	33, 38, 35, 84	brumoso-00461609-a	abrumador-01989446-a		
OneWordMV	acabar	acabar, acabar bien	22	acabar-00351824-v			
OneWordMV	acabar	acabar con alguien	26	acabar-00351824-v			
OneWordMV	acaparar	acaparar, 'lo único que acapara mi cabeza es la muerte'	33	acaparar-02304862-v		u.c.StringArray(elements=['apropiarse u obtener en todo o en gran parte un género de cosas.'])	u.c.StringArray(elements=['perturbación anímica producida por una idea fija.'])
Frame	acaparar	lo único que acapara en mi cabeza es la muerte	26				
Frame_RoleMismatch	acaparar	lo único que acapara en mi cabeza es la muerte	26				
OneWordMV	aceptar	aceptar, negar(se) a aceptar algo	39, 53	aceptar-00719231-v; aceptar-02236124-v	aceptar-00668805-v		
OneWordMV	achacaba	achacar	52			u.c.StringArray(elements=['atribuir, imputar a alguien o algo un delito, culpa, defecto o desgracia, generalmente con malicia o sin fundamento. (rae)'])	
OneWordMV	aclarar	aclarar	81	aclarar-00549217-v	aclarar-00991385-v		
OneWordMV	aclarar	aclarar	22	aclarar-00549217-v	sanar-00270561-v	u.c.StringArray(elements=['disipar o quitar lo que ofusca la claridad o transparencia de algo.'])	
OneWordMV	acompañar	acompañar, compañía, 'es el amor el que te acompañará', acompañar en el sentimiento	77	acompañar-02025550-v			Participar en los sentimientos de alguien.
Frame_RoleMismatch	acompañar	amor el que te acompañará					
OneWordMV	activar	activar, actividad	24	activar-01643657-v	recaer-00268165-v		
OneWordMV	activar	activar, actividad	24	activar-01643657-v	recaer-00268165-v		
