text	related_MV	lemma	type	pos	TD	TD_add	BM	BM_def	BM_RAE	BM_additional	BM_hypernym	CM	CM_def	CM_RAE	MWE_Source
abandonar	abandonar	abandonar	uniword	VERB	6	None	abandonar-00614057-v	leave someone who needs or counts on you; leave in the lurch: abandonar, dejar, desamparar, desasistir, desertar		None	leave.v.02	abandonar-00362348-v	prevent completion: abandonar, discontinuar, interrumpir, parar, romper, suspender		
abandonar	abandonar	abandonar	uniword	VERB	26	None	dejar-00614057-v	leave someone who needs or counts on you; leave in the lurch: abandonar, dejar, desamparar, desasistir, desertar		None	leave.v.02	morir-00358431-v	pass from physical life and lose all bodily attributes and functions necessary to sustain life: acudir, asfixiar, asfixiarse, caducar, caer muerto, colgar los guayos, croar, dejar de existir, diñar, entregar el alma, espichar, estirar la pata, estrangular, exhalar el último suspiro, expirar, fallecer, fenecer, finar, ir, irse al otro barrio, morir, palmar, pasar, pasar a mejor vida, perder la vida, perecer, salir, salir de este mundo, sucumbir, vencer		
abatida	abatido	abatido	uniword	ADJ	33, 35, 81	None	abatir-01103336-v	bring down or defeat (an opponent): abatir, derribar		None	get_the_better_of.v.01	abatir-01814396-v	lower someone's spirits; make downhearted: abatir, deprimir, desalentar, desanimar, desmoralizar, espantar		
aborde		abordar	uniword	VERB		None				None					
abrasivo	abrasivo	abrasivo	uniword	ADJ	62	None	abrasar-00196364-v	burn with heat, fire, or radiation: abrasar, abrasarse, incendiar, quemar, quemarse		None	damage.v.01, change.v.01	abrasar-02120451-v	cause a sharp or stinging pain or discomfort: abrasar, incendiar, quemar		
abriendo	abrir, abrir falsas esperanzas, abrir un camino esperanzador, abrir una pequeña puerta hacia la esperanza	abrir	uniword	VERB	31	None	abrir-00219963-v	become unlocked: abrir, desbloquear		None	change_state.v.01, change.v.02, disengage.v.03	abrir-00539936-v	make available: abrir, desarrollar, hacer disponible, iniciar		
abriendo	abrir una herida	abrir	uniword	VERB		None	abrir-00219963-v	become unlocked: abrir, desbloquear		None	change_state.v.01, change.v.02, disengage.v.03				
abriendo	abrir nuevo hilo	abrir	uniword	VERB	81	None	abrir-00219963-v	become unlocked: abrir, desbloquear		None	change_state.v.01, change.v.02, disengage.v.03				
abrumada		abrumado	uniword	ADJ		None				None					
abrumador		abrumador	uniword	ADJ		None				None					
acabar;acaba	acabar, acabar bien	acabar	uniword	VERB	22	None	acabar-00351824-v	end, at least for a long time: acabar, caducar, extinguirse, pasarse		None	end.v.01				
acabar;acaba	acabar con alguien	acabar	uniword	VERB	26	None	acabar-00351824-v	end, at least for a long time: acabar, caducar, extinguirse, pasarse		None	end.v.01				
acabaste		acabastir	uniword	VERB		u.c.StringArray(elements=['Tratamiento'])				None					
acapara	acaparar, 'lo único que acapara mi cabeza es la muerte'	acaparar	uniword	VERB	33	None	acaparar-02304862-v	apropiarse u obtener en todo o en gran parte un género de cosas.	u.c.StringArray(elements=['apropiarse u obtener en todo o en gran parte un género de cosas.'])	None	snap_up.v.01, take.v.08		perturbación anímica producida por una idea fija.	u.c.StringArray(elements=['perturbación anímica producida por una idea fija.'])	
