text,lemma,type,pos,BM,domain
reconstruccion,reconstruccion,uniword,PROPN,None,None
reconstruir,reconstruir,uniword,VERB,None,None
parnafernalia,parnafernalia,uniword,PROPN,None,None
fuerte';fuerte;fuertes,fuerte,uniword,ADJ,None,None
reinjertar,reinjertar,uniword,VERB,None,None
luzcan,lucir,uniword,VERB,None,None
ni nada,ni,multiword,CCONJ,None,None
compartirlo,compartir él,uniword,VERB,None,None
extirpar;extirparon,extirpar,uniword,VERB,None,None
implante,implante,uniword,NOUN,None,None
cedido,cedido,uniword,ADJ,None,None
punto;puntos,punto,uniword,NOUN,None,None
luchar!;luchando;luchando.;luchando!;luchamos;luchar,luchar,uniword,VERB,None,None
pasó a mejor vida;pasar por;paso;pasó por;pasé;pasará;pasado;pasar;pase;pasé por;pasando por;pasando;pasó;pasa,pasar,uniword,VERB,None,None
intervenirme,intervenir yo,uniword,VERB,None,None
orienten;orientar,orientar,uniword,VERB,None,None
valorando;valorar,valorar,uniword,VERB,None,None
sospechábamos,sospechár,uniword,VERB,None,None
cerrar.,cerrar,uniword,VERB,None,None
intervenir;intervinieron,intervenir,uniword,VERB,None,None
superado,superado,uniword,ADJ,None,None
pasos;paso por,paso,multiword,NOUN,None,None
al paso de los meses,al,multiword,ADP,None,None
implantes;implantes.,implant,uniword,ADJ,None,None
luchado,luchado,uniword,ADJ,None,None
se enfrenta;se rinda.;se fue;lo que me enfrentaba;lo que pasó;se cosume;se vino bastante abajo;le mando;lo comparto;se reproduce;ella;se quita;le salvé;se mojan;se ocupen;se han adueñado;se apagan;se ve truncada;se hubiera ido;le ha dado la cara,él,multiword,PRON,None,None
llevar;lleva;llevaban;llevo;lleven;llevamos;llevaba;llevaron;llevando,llevar,uniword,VERB,None,None
retomar,retomar,uniword,VERB,None,None
progresando,progresar,uniword,VERB,None,None
llevarà,llevarà,uniword,NOUN,None,None
arranque,arranque,uniword,NOUN,None,None
compartía;compartir;compartimos;compartir.,compartir,uniword,VERB,None,None
guiando,guiar,uniword,VERB,None,None
tenga;tenido;tener;tuvieron;tienes;tenemos;tenía;tuvo;tendrá;tuviese;teniendo;tuve;tengo;tienen;tengan;tiene,tener,uniword,VERB,None,None
limpios;limpia;limpio,limpio,uniword,ADJ,None,None
suspendieron,suspender,uniword,VERB,None,None
delicado,delicado,uniword,ADJ,None,None
duros;dura batalla.;duro.;dura;duras;duro,duro,uniword,ADJ,None,None
nos estamos enfrentando;me encuentro;me apoyo;me practicaron;me invaden;nos tienes;me saturo;me uno;nos derrumbamos.;me meto,yo,multiword,PRON,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/apoyo-04360501-n']),u.c.StringArray(elements=['personas>>apoyo'])
apoyo,apoyo,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/apoyo-04360501-n']),u.c.StringArray(elements=['personas>>apoyo'])
han subido;ha seguido;había hecho;haya estancado;ha llenado;he  superado;ha avanzado;ha pasado por;hayan juntado;habían vuelto;han descubierto;ha superado;hemos vuelto todos a nacer;han apoyado;hayan pasado por;haya;ha ido;ha muerto;he pasado;ha pasado,haber,multiword,AUX,None,None
quedar;quedan;queda;quedado,quedar,uniword,VERB,None,None
tocado;tocada,tocado,uniword,ADJ,None,None
vi;ves;ver;ven;viendo;vemos,ver,uniword,VERB,None,None
encontrar;encontraba;encontraron;encuentras;encuentre;encontré;encuentra;encontrado;encontró;encontramos;encuentro,encontrar,uniword,VERB,None,None
superar.;superando;superar,superar,uniword,VERB,None,None
pierdo.y,pierdo.y,uniword,NOUN,None,None
estaba pasando;estar;estáis en;estoy en;estáis luchando;está yendo;estaba;está limpiooo,estar,uniword,AUX,None,None
dejan;dejado;dejaron;dejo;dejé;dejar;dejaba,dejar,uniword,VERB,None,None
entienden,entender,uniword,VERB,None,None
subió;subí;subieron;subir,subir,uniword,VERB,None,None
camino;camino.,camino,uniword,NOUN,None,None
corazón,corazón,uniword,NOUN,None,None
posición,posición,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
avanza.;avanzar;avanza;avanzaba,avanzar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
principio,principio,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
situación.;situaciones;situación;situación así;situaciones y,situación,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
firme,firme,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
noticia;noticias,noticia,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
atrapadas,atrapado,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
venir;vino,venir,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
lidiar,lidiar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
retorcerse de dolor.,retorcer él,multiword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
contundente,contundente,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
"recaídas;recaídas,;recaída",recaída,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
bucle,bucle,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
peros,pero,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
por la que seguro pasan;por montones,por,multiword,ADP,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
agresivos;agresivo;agresiva,agresivo,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/agresivo-01244846-a']),u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
bulto,bulto,uniword,NOUN,"u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/bulto-05104421-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/bulto-08008017-n'])",None
resistencia;resistencias,resistencia,uniword,NOUN,None,None
captación,captación,uniword,NOUN,None,None
mandaronotra,mandaronotra,uniword,PROPN,None,None
progresion,progresion,uniword,PROPN,None,None
eliminaron;eliminar;eliminado,eliminar,uniword,VERB,None,None
desaparecido,desaparecido,uniword,ADJ,None,None
hilo,hilo,uniword,NOUN,None,None
volvio;vuelve;volvió;volví;vuelto;volvemos,volver,uniword,VERB,None,None
afectación,afectación,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
droga.;droga,droga,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
estable.;estables.;estables;estables .;estable,estable,uniword,ADJ,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
estabilizaron;estabilizan;estabilizar,estabilizar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
digeriendo,digerir,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
mutación,mutación,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
cuadro,cuadro,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
avance;avances,avance,uniword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer'])
