text,lemma,type,pos,BM_x,domain,posts,annotator_agreement,metaphoricity_percentage,related_MV,target_domain,BM_y,BM_hypernym,BM_def,CM,CM_def,curator_comment,BM_RAE,CM_RAE
"""un puño;""dormido"";""dura""","""",multiword,PUNCT,None,None,,,,,,,,,,,,,
"[autor 318];[autor 88]: viendo tus testimonios me encantaría poder a hablar contigo ya que estoy en una situación parecida con mi padre y quiero saber un poco más sobre esto, gracias de antemano;[autor 97]: hola, ¿al final como acabaste?;[autor 108;[autor 8]: buenos días,

a mi marido le detectaron un linfoma no hodgking en mediastino tipo b primario, agresivo, células grandes en abril 2024 con 40 años.",[,multiword,NOUN,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,,,,,,,,,,
a por,a,multiword,ADP,None,None,,,,,,,,,,,,,
abandonar,abandonar,uniword,VERB,None,None,,,,abandonar,6,abandonar-00614057-v,leave.v.02,"leave someone who needs or counts on you; leave in the lurch: abandonar, dejar, desamparar, desasistir, desertar",abandonar-00362348-v,"prevent completion: abandonar, discontinuar, interrumpir, parar, romper, suspender",,,
abandonar,abandonar,uniword,VERB,None,None,,,,abandonar,26,dejar-00614057-v,leave.v.02,"leave someone who needs or counts on you; leave in the lurch: abandonar, dejar, desamparar, desasistir, desertar",morir-00358431-v,"pass from physical life and lose all bodily attributes and functions necessary to sustain life: acudir, asfixiar, asfixiarse, caducar, caer muerto, colgar los guayos, croar, dejar de existir, diñar, entregar el alma, espichar, estirar la pata, estrangular, exhalar el último suspiro, expirar, fallecer, fenecer, finar, ir, irse al otro barrio, morir, palmar, pasar, pasar a mejor vida, perder la vida, perecer, salir, salir de este mundo, sucumbir, vencer",,,
abatida,abatido,uniword,ADJ,None,None,,,,,,,,,,,,,
,abatir,,,,,,,,abatido,"33, 35, 81",abatir-01103336-v,get_the_better_of.v.01,"bring down or defeat (an opponent): abatir, derribar",abatir-01814396-v,"lower someone's spirits; make downhearted: abatir, deprimir, desalentar, desanimar, desmoralizar, espantar",,,
aborde,abordar,uniword,VERB,None,None,,,,,,,,,,,,,
,abrasar,,,,,,,,abrasivo,62,abrasar-00196364-v,"damage.v.01, change.v.01","burn with heat, fire, or radiation: abrasar, abrasarse, incendiar, quemar, quemarse",abrasar-02120451-v,"cause a sharp or stinging pain or discomfort: abrasar, incendiar, quemar",,,
abrasivo,abrasivo,uniword,ADJ,None,None,,,,,,,,,,,,,
abriendo,abrir,uniword,VERB,None,None,,,,"abrir, abrir falsas esperanzas, abrir un camino esperanzador, abrir una pequeña puerta hacia la esperanza",31,abrir-00219963-v,"change_state.v.01, change.v.02, disengage.v.03","become unlocked: abrir, desbloquear",abrir-00539936-v,"make available: abrir, desarrollar, hacer disponible, iniciar",,,
abriendo,abrir,uniword,VERB,None,None,,,,abrir una herida,,abrir-00219963-v,"change_state.v.01, change.v.02, disengage.v.03","become unlocked: abrir, desbloquear",,,duda,,
abriendo,abrir,uniword,VERB,None,None,,,,abrir nuevo hilo,81,abrir-00219963-v,"change_state.v.01, change.v.02, disengage.v.03","become unlocked: abrir, desbloquear",,,,,
,abrumada,,,,,,,,"abrumado, abrumador","33, 38, 35, 83",brumoso-00461609-a,,"brumoso, neblinoso, nebuloso",abrumador-01989446-a,"so strong as to be irresistible: abrumador, incontenible, irreprimible, irresistible, penetrante",,,
abrumada,abrumado,uniword,ADJ,None,None,,,,,,,,,,,,,
abrumador,abrumador,uniword,ADJ,None,None,,,,,,,,,,,,,
acabar;acaba,acabar,uniword,VERB,None,None,,,,"acabar, acabar bien",22,acabar-00351824-v,end.v.01,"end, at least for a long time: acabar, caducar, extinguirse, pasarse",,,,,
acabar;acaba,acabar,uniword,VERB,None,None,,,,acabar con alguien,26,acabar-00351824-v,end.v.01,"end, at least for a long time: acabar, caducar, extinguirse, pasarse",,,,,
acabaste,acabastir,uniword,VERB,None,u.c.StringArray(elements=['Tratamiento']),,,,,,,,,,,,,
acapara,acaparar,uniword,VERB,None,None,,,,"acaparar, 'lo único que acapara mi cabeza es la muerte'",33,acaparar-02304862-v,"snap_up.v.01, take.v.08",apropiarse u obtener en todo o en gran parte un género de cosas.,,perturbación anímica producida por una idea fija.,,u.c.StringArray(elements=['apropiarse u obtener en todo o en gran parte un género de cosas.']),u.c.StringArray(elements=['perturbación anímica producida por una idea fija.'])
aceptar,aceptar,uniword,VERB,None,None,,,,"aceptar, negar(se) a aceptar algo","39, 53",aceptar-00719231-v; aceptar-02236124-v,,"react favorably to; consider right and proper: aceptar; receive willingly something given or offered: aceptar, querer, tomar",aceptar-00668805-v,"tolerate or accommodate oneself to: acceptar, aceptar, tragarse, vivir con",,,
,achacaba,,,,,,,,achacar,52,,,"atribuir, imputar a alguien o algo un delito, culpa, defecto o desgracia, generalmente con malicia o sin fundamento. ",,,,"u.c.StringArray(elements=['atribuir, imputar a alguien o algo un delito, culpa, defecto o desgracia, generalmente con malicia o sin fundamento. (rae)'])",
achacaba,achacar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/venirse+abajo-01972570-v']),None,,,,,,,,,,,,,
aclarar,aclarar,uniword,VERB,None,None,,,,aclarar,81,aclarar-00549217-v,change.v.01,"make clear, bright, light, or translucent: aclarar, clarificar, despejar",aclarar-00991385-v,"make understand: aclarar, explicar, iluminar, ilustrar",,,
aclarar,aclarar,uniword,VERB,None,None,,,,aclarar,22,aclarar-00549217-v,change.v.01,"make clear, bright, light, or translucent: aclarar, clarificar, despejar",sanar-00270561-v,"heal or recover: arreglar, curar, curarse, mejorar, sanar, sanear",,u.c.StringArray(elements=['disipar o quitar lo que ofusca la claridad o transparencia de algo.']),
aclare,aclare,uniword,VERB,None,None,,,,,,,,,,,,,
,acompañar,,,,,,,,"acompañar, compañía, 'es el amor el que te acompañará', acompañar en el sentimiento",77,acompañar-02025550-v,travel.v.01,go or travel along with: acompañar,,Participar en los sentimientos de alguien.,,,Participar en los sentimientos de alguien.
acompañarle,acompañar él,uniword,VERB,None,None,,,,,,,,,,,,,
acompañarte,acompañarte,uniword,VERB,None,None,,,,,,,,,,,,,
acompañándola,acompañándolo,uniword,ADJ,None,None,,,,,,,,,,,,,
,activar,,,,,,,,"activar, actividad",24,activar-01643657-v,"initiate.v.02, cause.v.01, make.v.03","put in motion or move to act: accionar, activar, desencadenar, provocar",recaer-00268165-v,"deteriorate in health: agravarse, empeorar, empeorarse, recaer",,,
activarse,activar él,uniword,VERB,None,None,,,,,,,,,,,,,
actividad,actividad,uniword,NOUN,None,None,,,,,,,,,,,,,
actúa,actuar,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Tecnicismo cáncer']),,,,actuar,22,actuar-01719921-v,"make.v.03, perform.v.03, re-create.v.01","perform on a stage or theater: actuar, interpretar, jugar, representar, tocar",curar-00081725-v,"provide a cure for, make healthy again: curar, reavivar, sanar",,,
,acudir,,,,,,,,acudir,"77, 76",acudir-01835496-v,,"change location; move, travel, or proceed, also metaphorically: acudir, desplazarse, ir, mover, moverse, viajar",,valerse de algo para algún fin.,,dicho de una persona: ir al sitio adonde le conviene o es llamada.,
acudí,acudí,uniword,VERB,None,"u.c.StringArray(elements=['Personas involucradas', 'Otros » Hablar sobre el cáncer'])",,,,,,,,,,,,,
acumular,acumular,uniword,VERB,None,None,,,,acumular información,53,acumular-01503404-v,"arrange.v.01, put.v.01, move.v.02","arrange in stacks: acumular, amontonar, apilar, hacinar",,,,,
adaptado,adaptado,uniword,ADJ,None,None,,,,,,,,,,,,,
